Full Name,Weight,Matchup,Outcome,Method,Round,Time
Tom Aaron,WEIGHT: 155 lbs.,,,,,
Tom Aaron,WEIGHT: 155 lbs.,"Tom Aaron
 
 Matt Ricehouse",LOSS,U-DEC,3,5:00
Tom Aaron,WEIGHT: 155 lbs.,"Tom Aaron
 
 Eric Steenberg",WIN,SUB,1,0:56
Danny Abbadi,WEIGHT: 155 lbs.,,,,,
Danny Abbadi,WEIGHT: 155 lbs.,"Danny Abbadi
 
 Jorge Gurgel",LOSS,S-DEC,3,5:00
Danny Abbadi,WEIGHT: 155 lbs.,"Danny Abbadi
 
 Kalib Starnes",LOSS,SUB,1,2:56
Nariman Abbasov,WEIGHT: 155 lbs.,,,,,
Nariman Abbasov,WEIGHT: 155 lbs.,"Nariman Abbasov
 
 Ismael Bonfim",LOSS,U-DEC,3,5:00
David Abbott,WEIGHT: 265 lbs.,,,,,
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Kevin Ferguson",LOSS,KO/TKO,1,0:43
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Paul Buentello",LOSS,KO/TKO,1,0:43
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Hidehiko Yoshida",LOSS,SUB,1,7:40
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Wesley Correira",LOSS,KO/TKO,1,2:14
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Kimo Leopoldo",LOSS,SUB,1,1:59
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Frank Mir",LOSS,SUB,1,0:46
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Pedro Rizzo",LOSS,KO/TKO,1,8:07
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Hugo Duarte",WIN,KO/TKO,1,0:43
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Yoji Anjo",WIN,U-DEC,2,3:00
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Maurice Smith",LOSS,SUB,1,8:08
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Vitor Belfort",LOSS,KO/TKO,1,0:52
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Don Frye",LOSS,SUB,1,1:22
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Steve Nelmark",WIN,KO/TKO,1,1:03
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Cal Worsham",WIN,KO/TKO,1,2:51
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Scott Ferrozzo",LOSS,U-DEC,2,3:00
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Sam Adkins",WIN,SUB,1,2:06
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Dan Severn",LOSS,U-DEC,1,18:00
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Steve Jennum",WIN,SUB,1,1:14
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Oleg Taktarov",LOSS,SUB,1,17:45
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Paul Varelans",WIN,KO/TKO,1,1:53
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 John Matua",WIN,KO/TKO,1,0:20
Hamdy Abdelwahab,WEIGHT: 264 lbs.,,,,,
Hamdy Abdelwahab,WEIGHT: 264 lbs.,"Hamdy Abdelwahab
 
 Don'Tale Mayes",NC,Overturned,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,,,,,
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Jailton Almeida",LOSS,KO/TKO,2,2:56
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Sergei Pavlovich",LOSS,KO/TKO,1,4:03
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Chris Daukaus",LOSS,KO/TKO,2,1:23
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Curtis Blaydes",LOSS,KO/TKO,2,2:22
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Marcin Tybura",WIN,KO/TKO,2,3:15
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Andrei Arlovski",WIN,U-DEC,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Chase Sherman",WIN,KO/TKO,1,1:24
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Derrick Lewis",LOSS,KO/TKO,4,3:42
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Walt Harris",WIN,S-DEC,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Anthony Hamilton",WIN,U-DEC,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Timothy Johnson",LOSS,KO/TKO,1,4:57
Hiroyuki Abe,WEIGHT: 145 lbs.,,,,,
Hiroyuki Abe,WEIGHT: 145 lbs.,"Hiroyuki Abe
 
 Naoki Matsushita",DRAW,Other,2,5:00
Hiroyuki Abe,WEIGHT: 145 lbs.,"Hiroyuki Abe
 
 Luiz Firmino",LOSS,SUB,1,2:52
Daichi Abe,WEIGHT: 170 lbs.,,,,,
Daichi Abe,WEIGHT: 170 lbs.,"Daichi Abe
 
 Li Jingliang",LOSS,U-DEC,3,5:00
Daichi Abe,WEIGHT: 170 lbs.,"Daichi Abe
 
 Luke Jumeau",LOSS,U-DEC,3,5:00
Daichi Abe,WEIGHT: 170 lbs.,"Daichi Abe
 
 Hyun Gyu Lim",WIN,U-DEC,3,5:00
Papy Abedi,WEIGHT: 185 lbs.,,,,,
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 Dylan Andrews",LOSS,KO/TKO,3,1:32
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 Besam Yousef",WIN,S-DEC,3,5:00
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 James Head",LOSS,SUB,1,4:33
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 Thiago Alves",LOSS,SUB,1,3:32
Ricardo Abreu,WEIGHT: 185 lbs.,,,,,
Ricardo Abreu,WEIGHT: 185 lbs.,"Ricardo Abreu
 
 Jake Collier",LOSS,S-DEC,3,5:00
Ricardo Abreu,WEIGHT: 185 lbs.,"Ricardo Abreu
 
 Wagner Silva",WIN,SUB,2,1:06
Klidson Abreu,WEIGHT: 205 lbs.,,,,,
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Jamahal Hill",NC,Overturned,1,1:51
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Shamil Gamzatov",LOSS,S-DEC,3,5:00
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Sam Alvey",WIN,U-DEC,3,5:00
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Magomed Ankalaev",LOSS,U-DEC,3,5:00
Daniel Acacio,WEIGHT: 180 lbs.,,,,,
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Rousimar Palhares",LOSS,SUB,1,1:22
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Akihiro Gono",LOSS,U-DEC,2,5:00
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Kazuo Misaki",WIN,U-DEC,2,5:00
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Daiju Takase",WIN,KO/TKO,2,3:34
John Adajar,WEIGHT: 170 lbs.,,,,,
