Full Name,Weight,Matchup,Outcome,Method,Round,Time,Weight Class
Tom Aaron,155,Matt Ricehouse,LOSS,Decision,3.0,5:00,Lightweight
Tom Aaron,155,Eric Steenberg,WIN,Submission,1.0,0:56,Lightweight
Danny Abbadi,155,Jorge Gurgel,LOSS,Decision,3.0,5:00,Lightweight
Danny Abbadi,155,Kalib Starnes,LOSS,Submission,1.0,2:56,Lightweight
Nariman Abbasov,155,Ismael Bonfim,LOSS,Decision,3.0,5:00,Lightweight
David Abbott,265,Kevin Ferguson,LOSS,KO/TKO,1.0,0:43,Heavyweight
David Abbott,265,Paul Buentello,LOSS,KO/TKO,1.0,0:43,Heavyweight
David Abbott,265,Hidehiko Yoshida,LOSS,Submission,1.0,7:40,Heavyweight
David Abbott,265,Wesley Correira,LOSS,KO/TKO,1.0,2:14,Heavyweight
David Abbott,265,Kimo Leopoldo,LOSS,Submission,1.0,1:59,Heavyweight
David Abbott,265,Frank Mir,LOSS,Submission,1.0,0:46,Heavyweight
David Abbott,265,Pedro Rizzo,LOSS,KO/TKO,1.0,8:07,Heavyweight
David Abbott,265,Hugo Duarte,WIN,KO/TKO,1.0,0:43,Heavyweight
David Abbott,265,Yoji Anjo,WIN,Decision,2.0,3:00,Heavyweight
David Abbott,265,Maurice Smith,LOSS,Submission,1.0,8:08,Heavyweight
David Abbott,265,Vitor Belfort,LOSS,KO/TKO,1.0,0:52,Heavyweight
David Abbott,265,Don Frye,LOSS,Submission,1.0,1:22,Heavyweight
David Abbott,265,Steve Nelmark,WIN,KO/TKO,1.0,1:03,Heavyweight
David Abbott,265,Cal Worsham,WIN,KO/TKO,1.0,2:51,Heavyweight
David Abbott,265,Scott Ferrozzo,LOSS,Decision,2.0,3:00,Heavyweight
David Abbott,265,Sam Adkins,WIN,Submission,1.0,2:06,Heavyweight
David Abbott,265,Dan Severn,LOSS,Decision,1.0,18:00,Heavyweight
David Abbott,265,Steve Jennum,WIN,Submission,1.0,1:14,Heavyweight
David Abbott,265,Oleg Taktarov,LOSS,Submission,1.0,17:45,Heavyweight
David Abbott,265,Paul Varelans,WIN,KO/TKO,1.0,1:53,Heavyweight
David Abbott,265,John Matua,WIN,KO/TKO,1.0,0:20,Heavyweight
Shamil Abdurakhimov,235,Jailton Almeida,LOSS,KO/TKO,2.0,2:56,Heavyweight
Shamil Abdurakhimov,235,Sergei Pavlovich,LOSS,KO/TKO,1.0,4:03,Heavyweight
Shamil Abdurakhimov,235,Chris Daukaus,LOSS,KO/TKO,2.0,1:23,Heavyweight
Shamil Abdurakhimov,235,Curtis Blaydes,LOSS,KO/TKO,2.0,2:22,Heavyweight
Shamil Abdurakhimov,235,Marcin Tybura,WIN,KO/TKO,2.0,3:15,Heavyweight
Shamil Abdurakhimov,235,Andrei Arlovski,WIN,Decision,3.0,5:00,Heavyweight
Shamil Abdurakhimov,235,Chase Sherman,WIN,KO/TKO,1.0,1:24,Heavyweight
Shamil Abdurakhimov,235,Derrick Lewis,LOSS,KO/TKO,4.0,3:42,Heavyweight
Shamil Abdurakhimov,235,Walt Harris,WIN,Decision,3.0,5:00,Heavyweight
Shamil Abdurakhimov,235,Anthony Hamilton,WIN,Decision,3.0,5:00,Heavyweight
Shamil Abdurakhimov,235,Timothy Johnson,LOSS,KO/TKO,1.0,4:57,Heavyweight
Hiroyuki Abe,145,Luiz Firmino,LOSS,Submission,1.0,2:52,Featherweight
Daichi Abe,170,Li Jingliang,LOSS,Decision,3.0,5:00,Welterweight
Daichi Abe,170,Luke Jumeau,LOSS,Decision,3.0,5:00,Welterweight
Daichi Abe,170,Hyun Gyu Lim,WIN,Decision,3.0,5:00,Welterweight
Papy Abedi,185,Dylan Andrews,LOSS,KO/TKO,3.0,1:32,Middleweight
Papy Abedi,185,Besam Yousef,WIN,Decision,3.0,5:00,Middleweight
Papy Abedi,185,James Head,LOSS,Submission,1.0,4:33,Middleweight
Papy Abedi,185,Thiago Alves,LOSS,Submission,1.0,3:32,Middleweight
