Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Aaron Riley,155 lbs.,Joe Brammer,WIN,U-DEC,3.0,5:00,Decision,Aaron Riley Decision Win,Aaron Riley Decision Win
Aaron Rosa,205 lbs.,Joey Beltran,LOSS,KO/TKO,3.0,1:26,KO,Joey Beltran KO Win,Aaron Rosa Decision Win
Aaron Simpson,170 lbs.,Ronny Markes,LOSS,S-DEC,3.0,5:00,Decision,Ronny Markes Decision Win,Aaron Simpson KO Win
Abdul Razak Alhassan,185 lbs.,Alessio Di Chirico,WIN,KO/TKO ,1.0,0:17,KO,Abdul Razak Alhassan KO Win,Abdul Razak Alhassan KO Win
Abel Trujillo,155 lbs.,Marcus LeVesseur,WIN,KO/TKO,2.0,3:56,KO,Abel Trujillo KO Win,Abel Trujillo KO Win
Adlan Amagov,170 lbs.,Keith Berry,WIN,KO/TKO,1.0,0:48,KO,Adlan Amagov KO Win,Adlan Amagov KO Win
Adrian Yanez,135 lbs.,Brady Huang,WIN,KO/TKO,1.0,0:39,KO,Adrian Yanez KO Win,Adrian Yanez KO Win
Adriano Martins,155 lbs.,Keita Nakamura,LOSS,S-DEC,2.0,5:00,Decision,Keita Nakamura Decision Win,Adriano Martins Decision Win
Aiemann Zahabi,135 lbs.,Vince Morales,LOSS,U-DEC,3.0,5:00,Decision,Vince Morales Decision Win,Aiemann Zahabi Decision Win
Akihiro Gono,170 lbs.,Dan Hardy,LOSS,S-DEC,3.0,5:00,Decision,Dan Hardy Decision Win,Dan Hardy Decision Win
Akira Corassani,145 lbs.,Dustin Poirier,LOSS,KO/TKO ,2.0,0:42,KO,Dustin Poirier KO Win,Dustin Poirier KO Win
Akira Shoji,195 lbs.,Ebenezer Fontes Braga,WIN,U-DEC,1.0,15:00,Decision,Akira Shoji Decision Win,Ebenezer Fontes Braga Decision Win
Al Iaquinta,155 lbs.,Kevin Lee,WIN,U-DEC ,5.0,5:00,Decision,Al Iaquinta Decision Win,Al Iaquinta Decision Win
Alan Belcher,185 lbs.,Jason MacDonald,WIN,KO/TKO,1.0,3:48,KO,Alan Belcher KO Win,Alan Belcher KO Win
Alan Jouban,170 lbs.,Ben Saunders,WIN,KO/TKO ,2.0,2:38,KO,Alan Jouban KO Win,Alan Jouban KO Win
Alan Patrick,155 lbs.,Garett Whiteley,WIN,KO/TKO,1.0,3:54,KO,Alan Patrick KO Win,Alan Patrick Decision Win
Alatengheili,135 lbs.,Casey Kenney,LOSS,U-DEC,3.0,5:00,Decision,Casey Kenney Decision Win,Alatengheili Decision Win
Albert Morales,135 lbs.,Brett Johns,LOSS,U-DEC,3.0,5:00,Decision,Brett Johns Decision Win,Brett Johns Submission Win
Albert Tumenov,170 lbs.,Ildemar Alcantara,LOSS,S-DEC,3.0,5:00,Decision,Ildemar Alcantara Decision Win,Albert Tumenov Decision Win
Alejandro Perez,135 lbs.,Song Yadong,LOSS,KO/TKO,1.0,2:04,KO,Song Yadong KO Win,Song Yadong Decision Win
Aleksandar Rakic,205 lbs.,Francimar Barroso,WIN,U-DEC,3.0,5:00,Decision,Aleksandar Rakic Decision Win,Aleksandar Rakic Decision Win
Aleksander Emelianenko,255 lbs.,Assuerio Silva,WIN,S-DEC,2.0,5:00,Decision,Aleksander Emelianenko Decision Win,Aleksander Emelianenko Submission Win
Aleksei Oleinik,240 lbs.,Chris Daukaus,LOSS,KO/TKO,1.0,1:55,KO,Chris Daukaus KO Win,Chris Daukaus KO Win
Alessio Di Chirico,185 lbs.,Joaquin Buckley,WIN,KO/TKO ,1.0,2:12,KO,Alessio Di Chirico KO Win,Joaquin Buckley KO Win
Alessio Sakara,185 lbs.,Chris Weidman,LOSS,U-DEC,3.0,5:00,Decision,Chris Weidman Decision Win,Alessio Sakara KO Win
Alex Caceres,145 lbs.,Sergio Pettis,WIN,SUB ,3.0,4:39,Submission,Alex Caceres Submission Win,Sergio Pettis Decision Win
Alex Chambers,115 lbs.,Paige VanZant,LOSS,SUB,3.0,1:01,Submission,Paige VanZant Submission Win,Paige VanZant Submission Win
Alex Garcia,170 lbs.,Muslim Salikhov,WIN,SUB,2.0,3:22,Submission,Alex Garcia Submission Win,Muslim Salikhov Decision Win
Alex Karalexis,155 lbs.,Bart Palaszewski,LOSS,KO/TKO,2.0,1:11,KO,Bart Palaszewski KO Win,Alex Karalexis Decision Win
Alex Morono,170 lbs.,David Zawada,WIN,U-DEC,3.0,5:00,Decision,Alex Morono Decision Win,Alex Morono Decision Win
